127.0.0.1 - - [19/May/2018:09:58:55 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:26 +0530] "OPTIONS /todo/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:26 +0530] "POST /todo/login HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:26 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:26 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:26 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:27 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:27 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:27 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:27 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:09:59:42 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:10:00:32 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:10:00:32 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:10:00:32 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:10:03:24 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:10:03:48 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:10:03:48 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:10:03:48 +0530] "GET /todo/getNotes HTTP/1.1" 200 221347
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:33 +0530] "OPTIONS /todo/updateNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:33 +0530] "OPTIONS /todo/updatenotes HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:33 +0530] "PUT /todo/updateNotes HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:38 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:38 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:38 +0530] "GET /todo/getNotes HTTP/1.1" 200 221329
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:38 +0530] "GET /todo/getNotes HTTP/1.1" 200 221329
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:42 +0530] "GET /todo/getNotes HTTP/1.1" 200 221329
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:45 +0530] "GET /todo/getLabels HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:45 +0530] "GET /todo/getNotes HTTP/1.1" 200 221329
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:46 +0530] "GET /todo/getNotes HTTP/1.1" 200 221329
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:53 +0530] "OPTIONS /todo/getUserById HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:53 +0530] "GET /todo/getUserById HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [19/May/2018:10:04:53 +0530] "GET /todo/getNotes HTTP/1.1" 200 221329
