127.0.0.1 - - [01/Jun/2018:10:04:14 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:04:15 +0530] "GET /todo/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:04:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "OPTIONS /todo/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "POST /todo/login HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "GET /todo/getLabels HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:04 +0530] "GET /todo/getLabels HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:05 +0530] "GET /todo/getNotes HTTP/1.1" 200 243729
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:05:05 +0530] "GET /todo/getNotes HTTP/1.1" 200 243729
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:58:51 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:58:51 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:58:51 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:58:51 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:58:51 +0530] "GET /todo/getLabels HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:58:51 +0530] "GET /todo/getLabels HTTP/1.1" 200 194
